Date/Time,Total Precip (mm),Mean Temp (°C),Spd of Max Gust (km/h)
2015-01-01,0.0,-11.7,41
2015-01-02,5.0,-16.5,35
2015-01-03,2.2,-23.2,41
2015-01-04,0.0,-27.6,<31
2015-01-05,0.0,-22.0,<31
2015-01-06,0.0,-20.2,44
2015-01-07,0.0,-21.1,<31
2015-01-08,3.6,-17.3,43
2015-01-09,0.2,-18.1,32
2015-01-10,0.2,-20.2,<31
2015-01-11,0.2,-20.3,<31
2015-01-12,0.0,-23.8,<31
2015-01-14,3.1,-5.6,48
2015-01-15,0.0,-8.1,61
2015-01-16,0.0,-11.4,54
2015-01-17,1.1,-2.5,54
2015-01-18,0.0,-5.9,54
2015-01-19,0.0,-7.2,41
2015-01-20,0.0,-6.5,46
2015-01-21,0.0,-13.0,50
2015-01-22,0.0,-3.0,87
2015-01-23,0.0,2.6,54
2015-01-24,0.0,-5.0,56
2015-01-25,0.0,-6.3,59
2015-01-26,0.0,-1.1,65
2015-01-27,0.0,-2.8,35
2015-01-28,0.8,-4.8,70
2015-01-29,0.0,-13.2,72
2015-01-30,0.8,-11.6,83
2015-01-31,0.0,-19.4,69
2015-02-01,0.0,-23.0,48
2015-02-02,0.0,-16.1,48
2015-02-03,0.2,-14.4,52
2015-02-05,0.0,-12.5,35
2015-02-06,0.7,-15.6,<31
2015-02-07,0.0,-12.6,<31
2015-02-08,0.2,-18.3,<31
2015-02-09,0.0,-14.9,<31
2015-02-10,5.7,-10.0,37
2015-02-11,0.0,-19.9,37
2015-02-12,0.0,-19.7,35
2015-02-13,0.0,-17.2,41
2015-02-14,0.0,-25.3,33
2015-02-15,0.2,-18.0,33
2015-02-16,0.0,-16.0,32
2015-02-17,0.0,-21.0,33
2015-02-18,0.0,-23.9,<31
2015-02-19,0.4,-20.6,<31
2015-02-20,1.4,-14.6,<31
2015-02-21,0.0,-23.3,32
2015-02-22,0.0,-25.5,<31
2015-02-23,0.4,-13.6,44
2015-02-24,0.2,-11.1,50
2015-02-25,0.0,-20.5,<31
2015-02-26,0.0,-18.7,<31
2015-02-27,0.0,-16.1,<31
2015-02-28,0.0,-12.3,<31
2015-03-01,0.0,-11.5,<31
2015-03-02,0.0,-11.0,39
2015-03-03,0.4,-12.9,43
2015-03-04,0.0,-20.8,<31
2015-03-05,0.0,-14.8,33
2015-03-06,3.5,-4.6,35
2015-03-07,1.0,-5.5,35
2015-03-08,0.0,-0.8,<31
2015-03-09,0.0,0.8,<31
2015-03-10,0.0,5.2,32
2015-03-11,0.0,-0.2,<31
2015-03-12,0.0,4.9,<31
